timestamp_ms,accX_g,accY_g,accZ_g,gyrX,gyrY,gyrZ,step_count,cadence_spm,peak_impact_g
1784073124823,0.28695425,0.32697168,0.018300654,1.82,-31.5,12.88,0,0.0,0.4354172
1784073124823,0.2552331,0.31599128,0.16812201,-4.41,-38.920002,9.8,0,0.0,0.43961284
1784073124823,0.15811765,0.24498475,0.07735076,3.08,-38.5,8.68,0,0.0,0.43961284
1784073124823,-0.06246623,0.1793464,-0.18154249,9.03,-29.89,3.29,0,0.0,0.43961284
1784073124823,-0.14469717,0.079058826,-0.20716341,11.13,-15.82,-1.05,0,0.0,0.43961284
1784073124823,-0.094187364,0.06515033,-0.051241834,5.39,-1.82,-3.3600001,0,0.0,0.43961284
1784073124823,0.18007843,-0.2132636,0.27524182,0.35,3.71,-6.23,0,0.0,0.43961284
1784073124823,0.32428756,-0.106387794,1.0904748,16.66,-9.1,-7.91,0,0.0,1.1426357
1784073124952,0.8628148,-0.09662745,2.0333247,58.03,-47.39,-2.8700001,0,0.0,2.2109263
1784073124952,1.2166275,0.05148584,1.4498998,119.49,-69.02,14.56,0,0.0,2.2109263
1784073124952,-0.33014378,-0.19081481,0.3211155,144.9,-63.49,12.46,1,0.0,2.2109263
1784073124952,-1.4179347,-0.20106317,-0.40676254,87.01,-41.3,-0.21000001,1,0.0,2.2109263
1784073124952,-1.3037386,0.3303878,-0.013908497,45.920002,-23.24,12.18,1,0.0,2.2109263
1784073124952,-0.96700656,1.6758518,0.09369934,71.05,-15.82,68.53,1,0.0,2.2109263
1784073124952,-0.5192505,3.0037472,-0.8879477,131.6,-23.31,144.41,1,0.0,3.1749911
1784073124952,0.09199129,4.980462,-0.59269714,134.82,42.98,174.37,1,0.0,5.0164485
1784073125000,1.5511634,2.6753116,-0.9465098,95.48,6.65,114.31,1,0.0,5.0164485
1784073125000,1.4262309,1.2693332,0.21057951,-59.78,-0.77,49.35,1,0.0,5.0164485
1784073125000,0.43433553,1.2505447,0.27524182,-36.05,22.47,5.25,1,0.0,5.0164485
1784073125000,0.1483573,1.622658,-0.15348148,-6.51,30.94,-9.87,1,0.0,5.0164485
1784073125000,-9.7603485E-4,1.6692636,-0.061490197,-27.44,24.85,-10.5,1,0.0,5.0164485
1784073125000,-0.19740304,1.761987,-0.11273203,-35.420002,13.79,-2.1,1,0.0,5.0164485
1784073125000,-0.28671023,1.7256296,-0.18983878,-28.98,3.99,12.95,1,0.0,5.0164485
1784073125000,-0.32892373,1.6641395,-0.16714597,-23.52,1.6800001,27.23,1,0.0,5.0164485
1784073125093,-0.30745098,1.6570631,-0.19789107,-22.75,3.92,34.44,1,0.0,5.0164485
1784073125093,-0.21643573,1.626806,-0.21033551,-23.24,6.7200003,30.24,1,0.0,5.0164485
1784073125093,-0.15860566,1.5470153,-0.1991111,-25.41,9.59,18.62,1,0.0,5.0164485
1784073125093,-0.15201743,1.4618562,-0.17715032,-29.12,8.4,7.42,1,0.0,5.0164485
1784073125093,-0.07027451,1.3974379,-0.20130719,-33.46,5.81,1.75,1,0.0,5.0164485
1784073125093,-0.11639216,1.2920262,-0.15201743,-36.26,6.37,-0.21000001,1,0.0,5.0164485
1784073125093,-0.085403055,1.2132113,-0.15348148,-37.66,-0.14,-1.4,1,0.0,5.0164485
1784073125093,-0.06295425,1.145865,-0.13103268,-35.84,-1.75,-3.3600001,2,12.0,5.0164485
